,keyword,title,author,body,time,date,status,votes,num_comments,num_comment_pages,link,has_status_update,status_message,status_update_date
10,implemented,[Playlists] Limit Editing Access in Collaborative Playlists,spot41,"This problem has already been addressed in other ideas quite a few times, so I'll make it brief. At the moment, anyone can edit a collaborative playlist. There are numerous ways to solve this, e.g. granting the creator the right to put people on blacklists or whitelists. Another easy fix that might be a separate link for the creator to share only with persons who shoud be able to add and delete song! It would already help a lot 🙂",02:45 PM,‎2021-05-20,implemented,737,100,10,https://community.spotify.com/t5/Implemented-Ideas/Playlists-Limit-Editing-Access-in-Collaborative-Playlists/idi-p/5208607?search-action-id=347302516555&search-result-uid=5208607,True,"Hey everyone!We're happy to announce that you will soon have new options for managing collaborative playlists - they are rolling out to everyone over the coming weeks.Users will have the ability to review who currently has access to individual playlists, share collaborative playlists with large public groups, or keep them small and private for that special tightly-knit group of friends.You will be able to:  Pick your favorites. As a playlist creator, you can now invite or remove users from collaborating on your playlists, meaning there’s more control over who has access to editing the content you love. Share privately. You can now set your collaborative playlists to private, so no one can view, search, listen to or share a playlist– except for those chosen few who have been invited or given collaborative access. Change your mind? At any given time, a playlist owner has the power to see, add and remove who gets to collaborate and follow their playlists.  For details on how the feature works, see:  https://support.spotify.com/article/playlist-privacy/ https://support.spotify.com/article/collaborative-playlists/  Because of this change, this other idea is also being implemented. If you don't see this yet, don't worry. Just make sure to keep your app up to date and it should be available for you soon.  Thanks for giving us your feedback in the Community.",happy
11,implemented,"[Mobile][Your Library] Separate Sorting Options For Each ""Your Library"" Category",Spaceboy88,"The current ""Your Library"" sorting is limited to just one choice, but I would prefer different sorting options for each thing. For example, I would like my playlists to sort by ""Recently Played,"" but Artists by ""Alphabetical"" and albums by ""Recently Added."" The current setup just allows for one filter that carries across all areas, and if you change it for one, it changes for all. Please allow for separate sorting options for each Library Category (Playlists, Artists, Albums, Podcasts & Shows) that are remembered for each view.",10:58 PM,‎2021-05-18,implemented,37,10,1,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Your-Library-Separate-Sorting-Options-For-Each-quot-Your/idi-p/5207291?search-action-id=347302516555&search-result-uid=5207291,True,Updated on 2021-11-18Hey all!   Thanks for letting us know this is something you wanted to see. Looks like our developers agree that this is a good idea - We can confirm that it's now possible to set a separate sort order for each filter in Your Library.   Please continue to leave your feedback around the app and we'll keep sharing it with our internal teams. Cheers!,2021-11-18Hey
12,implemented,Please bring back the Enhance button,Jamessinclair,"For a few weeks there was an option to enhance Spotify playlists, where songs similar to your taste would be added. I enjoyed this feature and think it should be brought back.",07:27 PM,‎2021-04-27,implemented,227,30,3,https://community.spotify.com/t5/Implemented-Ideas/Please-bring-back-the-Enhance-button/idi-p/5195222?search-action-id=347302516555&search-result-uid=5195222,True,"Updated on 2021-09-10Hey music lovers 🎶   You'll be happy to know that Enhance Playlists are now available on iOS and Android mobile devices - You can read more about it here.   Just bear in mind that the new feature will be gradually rolled out, so it might take a bit until everybody has access to it.    Once again, thanks for showing your support here on the Community!",2021-09-10Hey
13,implemented,Auto-delete played and/or downloaded podcast episodes,tmoody,"This suggestion has been posted before, but it needs to be suggested again until it is implemented.There absolutely needs to be an option to delete played episodes from the episode list. Not everyone will use this, but many will, and it's considered basic functionality on other podcast software by now. The same option should exist for downloaded episodes.If Spotify wants to compete with established podcast software, they need to at least match the basic feature set. This is not a ""bells and whistles"" kind of feature.",02:27 PM,‎2021-04-15,implemented,279,50,5,https://community.spotify.com/t5/Implemented-Ideas/Auto-delete-played-and-or-downloaded-podcast-episodes/idi-p/5188815?search-action-id=347302516555&search-result-uid=5188815,True,"Updated on 2021-12-09Hey folks,   Thanks for staying with us and waiting for the updates on this one.   Happy to let you know that this suggestion is being implemented: rollout in progress 🙂   Cheers!",2021-12-09Hey
14,implemented,[Desktop] Do not limit queue visibility to 50 for manual additions,Betjeman,"The new desktop experience should behave how the queue previously worked.When you manually add tracks, they should not disappear once the queue length reaches 50. All manually added tracks should display.My use case is: In the morning, I queue up a bunch of albums for the entire day so I can concentrate on work and not have to bother choosing tracks throughout the day. With a visible limit of 50 this becomes very difficult and frustrating. The limit is arbitrary as playlists can still display the full number of tracks.I don't want to have to create a playlist for this as I have still have a playlist running in case the queue runs out.I can't help feeling this is an oversight and it shouldn't be hard to resolve.",09:05 AM,‎2021-04-09,implemented,175,60,6,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Do-not-limit-queue-visibility-to-50-for-manual-additions/idi-p/5184497?search-action-id=347302516555&search-result-uid=5184497,True,"Updated on 2021-11-03Hey folks,   Thanks for letting us know this is something you wanted to see. We're marking this as implemented.   As some of you have already mentioned, the Play Queue now shows more than 50 tracks.   Please continue to leave your feedback around the app and we'll keep sharing it with our internal teams. Thanks!",2021-11-03Hey
15,implemented,[Desktop] Put the Liked Songs back under each band's/artist's page for the desktop app,LokiX21,"Not sure why it was even changed in the first place, but yeah... the new user interface for the desktop app is really inefficient, frustrating, and ultimately a deal breaker in its altering how the songs that you've liked are accessed.More specifically... taking them off of each individual band's/artist's page where it previously only took a few seconds to find and play a song that you liked through the green heart mechanism was a bad idea/move.Furthermore... throwing them all together into a single play list is an even worse idea/move given that it now takes so long trying to scroll up and down through thousands of liked songs while trying to find whatever it is you're specifically looking for that you are better off just giving up trying to use the desktop app and switching over to the mobile/tablet Spotify app that still has your liked songs listed under the artist page, or just straight up ditching Spotify completely and looking up the song on YouTube, Bandcamp, etc.With that... and as someone who has ever-present tinnitus in both ears from my time serving in the military that in turn makes being able to use the Spotify desktop app to listen to music through headphones that are of high-enough quality to actually be capable of drowning out the constant ringing in my ears (and in turn desktop-dependent) super important in maintaining my sanity/mental health...I damn near beg whoever is in charge of such to re-implement the layout of the previous user interface so that the Liked Songs are moved back to the individual Artist's page as its removal with the new user interface has pretty much killed off my being able to even use the new Spotify desktop app at all (and in turn the aforementioned high quality headphones that I am dependent upon).Additionally... might I add that putting the ""About"" section of each artist's page at the very bottom instead of at the very top of it is also a bad move in that having actual info about the artist listed as the very last thing on their page is really inefficient (if not disrespectful) given that it comes after other artist's work is recommended before you can even read about the artist whose page you clicked on to check out in the first place.With that... I'd not only recommend returning the Liked Songs to each Artist's page, but also recommend structuring their pages so that it is presented in the following and more efficient order...1) the About section;2) the Liked Songs section;3) the Popular songs section;4) the Discography section;5) the Offers section;6) the Artist Playlists section;7) the Featuring section;😎 the Fans also like section.I hope that whatever powers that be within the Spotify decision-making hierarchy that actually see this seriously consider, and really... just start straight up making moves to get the ball rolling on having at least the Like Songs (re)implemented to each Artist page, because if not... people such as myself that are a heavy, heavy users of the desktop app are highly likely to start transitioning to some other means of efficiently listening to the music that they love, which is something that I really hope I don't have to do after having already invested hundreds (if not thousands) of hours into piecing together a music library that serves as a key (if not primary) component of maintaining my sanity/mental health.Sincerely,L",03:14 AM,‎2021-04-04,implemented,175,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Put-the-Liked-Songs-back-under-each-band-s-artist-s-page/idi-p/5181258?search-action-id=347302516555&search-result-uid=5181258,True,"Updated on 2021-12-30 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're happy to announce that this feature is now available on Desktop.      Once again, thanks for helping us make Spotify better, by participating here on the Community. ",2021-12-30
16,implemented,[Desktop][Playlists] Paste Songs in Playlist at Specific Point,brayden1121,With the new UI update the ability to paste songs at a certain point in a playlist seems to be missing. I have some pretty long playlists that I use custom ordering with. Having the ability to paste songs I recently added to it at a certain point was really helpful. This allowed me to highlight a song near where I wanted the new songs to go and when I pasted the cut songs would be pasted right below it. This saved a lot of time because I didn't need to drag songs from the bottom of the playlist after they were added through the playlist for minutes at a time. This was a great feature and I hope something to replace it or the feature is reinstated. It appears that right now when I try to do this the songs are pasted at the end of the playlist. I have not found a new feature or workaround to this at the moment. This idea implies the existence of the ability to cut rather than just copy songs in a playlist as well so I didn't feel the need to create a separate idea post for that feature. This also doesn't have to be exactly as I described it. A way to move songs to a certain point in a playlist in any way is just what I am looking for. I know the UI is brand new so these are probably just the growing pains but I'd love to see this feature added at some point. Thanks!,02:20 PM,‎2021-03-31,implemented,153,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Paste-Songs-in-Playlist-at-Specific-Point/idi-p/5179050?search-action-id=347302516555&search-result-uid=5179050,True,"Updated on 2023-01-13 Hi everyone,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're super happy to announce that this is now possible on the desktop app! You can cut/copy songs with Ctrl+X/Ctrl+C (on Windows; Cmd+X/Cmd+C on Mac) and paste them in the desired location in your playlists with Ctrl+V (on Windows; Cmd+V on Mac)!   For more info on all other keyboard shortcuts check out this article.   Once again, thanks for helping us make Spotify better, by participating here on the Community.   Stay awesome! ",2023-01-13
17,implemented,[Playlists] Save Daily Mix as New Playlist,Ninnas,"I've seen this suggestion pop up before but it didn't get enough kudos. Still, I'll repost it again in case it catches on! Sometimes the daily mix algorithm REALLY hits the spot and matches songs perfectly. And then I just want to save it without manually adding every song to a custom playlist. Like right now. And you know it, I'm adding the songs one by one to a playlist because algorithm did good and I don't want to lose it once it refreshes tomorrow. But what if I don't have the time for that? One tap could spare me the pain. As the Daily Mix algorithm gets better, I'm sure many of us are gonna start feeling this way soon.",10:48 PM,‎2021-03-30,implemented,168,30,3,https://community.spotify.com/t5/Implemented-Ideas/Playlists-Save-Daily-Mix-as-New-Playlist/idi-p/5178649?search-action-id=347302516555&search-result-uid=5178649,True,"Updated on 2022-11-18Hey folks,   Thanks for adding your votes to this idea.   We're happy to confirm that this is already possible. You can create a copy of a particular set of songs from your Daily mixes, you just need to select the playlist in your mobile device app, then, on the three-point menu select Add to other playlist > New playlist.   As a workaround, if you're from the desktop app, you can copy all the songs in a playlist (including the Daily mixes) by selecting it, scrolling until the last song, and clicking at it while pressing shift. All songs will be selected and by clicking the right mouse button, you can add them to the new playlist.",2022-11-18Hey
18,implemented,"[Desktop] Please bring back ""Discovered by...."" playlist list when looking at artist profiles.",awesometunes,"This was such a great way to discover playlists and similar artists based on the artist you are looking at.I don't see any benefit of removing this feature.But, the latest update as of now has it removed. Before, you can go to an artist profile, under the ""about section"", the right side showed some playlists the artist is featured in (usually the top 5 playlists that this artist has the most plays from). Please bring this back. Thanks.",08:01 PM,‎2021-03-30,implemented,127,30,3,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Please-bring-back-quot-Discovered-by-quot-playlist-list/idi-p/5178561?search-action-id=347302516555&search-result-uid=5178561,True,"Updated on 2021-07-07 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen 🙂      We're happy to announce that the Appears On feature is now available on Desktop.      Once again, thanks for helping us make Spotify better, by participating here on the Community! ",2021-07-07
19,implemented,[Desktop][Podcasts] Filtered by unplayed episodes,Admiral446,"I noticed with the latest update that the 'Filtered by' unplayed episodes has been removed. If a podcast has over 100episodes it can be a bit annoying to scroll all the way down to the ep I'm up to. I can sort it from old to new, but I want to hide/archive the eps I've listened to please. Not everyone is up to the latest episode and if you sub to an old podcast with lots of eps, you really need this feature. Just hitting play from the overview screen will play the latest/oldest (whatever the first file in the list is). If old eps where archived it could play the one I'm up to (as long as it remembers to sort old to new).",10:24 AM,‎2021-03-29,implemented,338,70,7,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Podcasts-Filtered-by-unplayed-episodes/idi-p/5177779?search-action-id=347302516555&search-result-uid=5177779,True,"Updated on 2022-09-08Hey folks!We're happy to announce that ""Filter by unplayed episodes"" is now available! 🙂Thanks for coming to the Spotify Idea Exchange and for voting to make this happen.Cheers!",2022-09-08Hey
20,implemented,[Desktop][Other] Return the option to hide media keys overlay,Lavrent,"There have been a convenient setting in the previous version of the desktop app which allowed to hide overlay while using media keys. But, for some reason, it was removed in the latest version of the app (using 1.1.55.498.gf9a83c60-a currently). I sincerely cannot understand the reason of removing this option, so I suggest returning it to the latest desktop app.",01:54 PM,‎2021-03-27,implemented,53,20,2,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Other-Return-the-option-to-hide-media-keys-overlay/idi-p/5176974?search-action-id=347302516555&search-result-uid=5176974,True,"Updated on 2021-06-30Hey folks,   We just wanted to provide you with an update on this idea:   We've spoken to the relevant teams and they've confirmed that this feature has already been implemented - this is why we're updating the idea's status to Implemented.   However, it seems that users are still experiencing an issue with the feature. This is an issue which we're aware of and which we've already reported to the right folks. If you're experiencing the issue as described in this Ongoing Issue thread, make sure to head over there, leave a +VOTE and subscribe to the thread to receive the latest on our progress.   If you're experiencing a different issue to the one in the Ongoing Issue thread linked above, make sure to start a new thread in the relevant help board here and we'll get back to you there.   Cheers!",2021-06-30Hey
21,implemented,[Desktop][Podcasts] ''Your episodes'' available on desktop,srzeid2000,"I love the ""my episodes"" feature on IOS which lets you save podcast episodes for later. However, why doesn't this exist on Mac? It is so annoying to find all these cool episodes and then I can't save them! Please make ""my episodes"" a feature on Mac Spotify. Thanks!",09:55 PM,‎2020-12-31,implemented,142,20,2,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Podcasts-Your-episodes-available-on-desktop/idi-p/5101965?search-action-id=347302516555&search-result-uid=5101965,True,"Updated on 2021-10-05Hi all,    As part of regularly reviewing all ideas, including closed ones, we stumbled upon this one.    We can confirm that this feature is now implemented in the desktop app:  Seems our developers agree that this is a good idea!",2021-10-05Hi
22,implemented,(Podcasts) You should be able to share a specific time stamp when sharing pods,macksbee,"So that whoever you share it with can start listening at the moment you want them to hear, not just the beginning of the pod. Youtube does this when you share videos, you can share the link and have it jump to a specific time stamp.",02:22 PM,‎2020-12-06,implemented,21,10,1,https://community.spotify.com/t5/Implemented-Ideas/Podcasts-You-should-be-able-to-share-a-specific-time-stamp-when/idi-p/5087661?search-action-id=347302516555&search-result-uid=5087661,True,"Updated on 2021-07-06Hey folks,   Thanks for your feedback and suggestions on this one!   We're pleased to confirm that, using the mobile app, it's now possible to share podcast episodes beginning at a particular moment. There's more info here.   Happy listening 🎧",2021-07-06Hey
23,implemented,[All Platforms] Spotify for Maldives,ayshlamha,"Hey there,I’m a user from Maldives who had previously been living in a country where Spotify was available to use with no issues. However, I would like to keep using Spotify in Maldives and like myself, there are many users in Maldives who would like to be given the opportunity to use Spotify as their preferred listening platform, who are willing to pay to subscribe to Spotify Premium and use the service as well. Please make it available for us too!",06:40 AM,‎2020-12-03,implemented,142,10,1,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Spotify-for-Maldives/idi-p/5084877?search-action-id=347302516555&search-result-uid=5084877,True,"Updated on 2021-02-27Hey everyone,   Thanks for bearing with us and for your patience!   We're so pleased to confirm that Spotify is now available in Maldives, as pointed out by @MattSuda you can take a look here for more info.   Enjoy your music!  ",2021-02-27Hey
24,implemented,[Desktop][Playlists] Please bring back the Hide this Song Option and I dont like this song/ artist,user-removed,"Please bring back the ""I don't like this song/hide this song"" that was next to the heart sign cause it was very convenient and easier to control the likes or don't of your recommendations and control the playlist from all my devices available instead of going to queue every time to remove it temporary. Also the I don't like this artist/song that was available on the release radar playlist. Thank You . Update: Spotify brought it back on version (1.1.48.625.g1c87c7f7-a) so does listen! Thank you!",07:40 AM,‎2020-11-24,implemented,249,50,5,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Playlists-Please-bring-back-the-Hide-this-Song-Option/idi-p/5077951?search-action-id=347302516555&search-result-uid=5077951,True,"Updated on 2020-12-22Hey folks,   Thanks for coming to the Community!   We're pleased to confirm that the dislike button should be available again for the Discover Weekly and Release Radar playlists.   Happy listening 🙂",2020-12-22Hey
25,implemented,[Desktop] Add support for Apple Silicon (ARM64 on Mac),stogdan,"Feature request: Add support for Apple Silicon in a future Spotify release on Mac OS. Apple have recently released a new generation of Macs based on their own Apple Silicon. I hope that Spotify will prioritize native support for this new CPU architecture. If so the best music platform on the Mac, will continue running great natively on the new generation Mac hardware.",02:28 PM,‎2020-11-11,implemented,3193,520,52,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Add-support-for-Apple-Silicon-ARM64-on-Mac/idi-p/5069922?search-action-id=347302516555&search-result-uid=5069922,True,"Hey everyone,   Thank you all for bringing your feedback to the Community Idea Exchange and participating in this Beta test!   Your input has been invaluable and helped us tweak the app to make full use of the new CPU architecture.   We're happy to announce that the app is now out of Beta and can be downloaded from our website. You should automatically get the correct version for your Mac's CPU and all updates will be automatic as well, just the way it was in the past.   This idea is now officially implemented! Thanks once more for all your votes and posts.   Happy listening! 🎶",Thank
26,implemented,Spotify in Brunei Darussalam,asdf137,"Hello,This post is my attempt as a Bruneian to reach out to Spotify to make Brunei as one of the location for Spotify's service to be available. Most Bruneians here resorts on using VPN to neighboring country and I believe that's not what you guys want. I hope we dont get any other ""not enough kudos"" as it is not a fair voting system when not alot of us are aware of the voting system.",02:16 PM,‎2020-10-25,implemented,337,10,1,https://community.spotify.com/t5/Implemented-Ideas/Spotify-in-Brunei-Darussalam/idi-p/5060126?search-action-id=347302516555&search-result-uid=5060126,True,"Updated on 2021-02-27Hey everyone, Thanks for coming to the Community, and adding your votes and comments to this idea. We're very happy to confirm that Spotify is now available in Brunei Darussalam.   There's some more information on this here.   Welcome to the party 🎉",2021-02-27Hey
27,implemented,[All Platforms][Podcasts] Podcasts in Egypt,RM_5,Make podcasts available in Egypt.,09:51 PM,‎2020-10-14,implemented,292,30,3,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Podcasts-Podcasts-in-Egypt/idi-p/5053352?search-action-id=347302516555&search-result-uid=5053352,True,"Updated on 2021-10-28 Hey folks,   Thanks for coming to the Spotify Idea Exchange and for your effort and engagement in voting to make this happen.   Even though this idea was previously closed, the votes kept coming in and we're now extremely happy to announce that podcasts in Egypt is now available on Spotify.   Thanks to everyone of you for helping us make Spotify better, by participating here on the Community.   We really hope that you'll enjoy our podcast content.   Take care 🙂",2021-10-28
28,implemented,[Xbox] Cross-device Volume Control - Xbox via Connect,Velotoxicsounds,"Hello Unfortunately, the volume can no longer be changed via PC or smartphone on Xbox when the Spotify client is running on Xbox. However, this function still existed until last week. Have you permanently removed them or will they come back with the next updates? Unfortunately, the missing feature takes a little bit of the option to use the Xbox as a media center. Lg Marcel",04:25 PM,‎2020-10-01,implemented,2425,160,16,https://community.spotify.com/t5/Implemented-Ideas/Xbox-Cross-device-Volume-Control-Xbox-via-Connect/idi-p/5045278?search-action-id=347302516555&search-result-uid=5045278,True,"Updated on 2021-06-30 Hey folks,     Thanks for coming to the Spotify Idea Exchange and voting to make this happen.     We're happy to announce that volume control via Connect is now available on Xbox. This feature is now accessible with version 2.22.9.70 for Spotify on Xbox, so make sure to check for updates.    If afterwards there're any issues, we recommend a reinstall of the app on both the Xbox and the controlling device.     Once again, thanks for all the votes and helping make this a reality! ",2021-06-30
