,keyword,title,author,body,time,date,status,votes,num_comments,num_comment_pages,link,lang
28,implemented,[Xbox] Cross-device Volume Control - Xbox via Connect,Velotoxicsounds,"Hello Unfortunately, the volume can no longer be changed via PC or smartphone on Xbox when the Spotify client is running on Xbox. However, this function still existed until last week. Have you permanently removed them or will they come back with the next updates? Unfortunately, the missing feature takes a little bit of the option to use the Xbox as a media center. Lg Marcel",04:25 PM,‎2020-10-01,,2425,160,16,https://community.spotify.com/t5/Implemented-Ideas/Xbox-Cross-device-Volume-Control-Xbox-via-Connect/idi-p/5045278?search-action-id=342735444271&search-result-uid=5045278,en
29,implemented,[All Platforms][Other] Mono option for hearing impaired,kk-monster,Spotify needs to have a mono option for those of us who are hearing impaired. It is exclusionary otherwise!!!,05:48 PM,‎2020-09-16,,842,250,25,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Other-Mono-option-for-hearing-impaired/idi-p/5036824?search-action-id=342735444271&search-result-uid=5036824,en
30,implemented,[XBOX ONE][Podcasts] Video for Podcasts on XBOX ONE,avgAmerican117,"Not even sure why this has to be an idea, if you acquire one of the most watched podcast of our time, implementing video across all apps YOU CREATE should be a must. Currently can't watch the JRE podcasts on the app for XBOX ONE, only audio. This shouldn't need to be voted up, this should be done for those of us who are premium customers. But let's get it past 100 votes.",03:34 PM,‎2020-09-14,,252,80,8,https://community.spotify.com/t5/Implemented-Ideas/XBOX-ONE-Podcasts-Video-for-Podcasts-on-XBOX-ONE/idi-p/5035646?search-action-id=342735444271&search-result-uid=5035646,en
31,implemented,[FireTV] Podcasts Video on Amazon Firestick and FireTV devices,Justabillybear,"To solve issue on JRE video and others not playing on Firestick and others... Just make Firestick, Apple etc Smart TV apps a Full standalone and supported app like on Mobile devices. Ask Amazon or Netflix for instructions. This can't be that difficult...",05:35 PM,‎2020-09-13,,244,40,4,https://community.spotify.com/t5/Implemented-Ideas/FireTV-Podcasts-Video-on-Amazon-Firestick-and-FireTV-devices/idi-p/5035151?search-action-id=342735444271&search-result-uid=5035151,en
32,implemented,"[All Platforms][Playlists] Search among my playlists on ""add to Playlist""",leandromelo,"When I click on ""add to Playlist"" I can see ""New Playlist"" and a list with all my playlists. It would be very useful if I could search among my playlists titles by taping its name. I have a lot of playlists and sometimes it's hard to find the one I want to add the song to.",09:27 PM,‎2020-09-07,,82,60,6,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Playlists-Search-among-my-playlists-on-quot-add-to/idi-p/5031948?search-action-id=342735444271&search-result-uid=5031948,en
33,implemented,[Android][Other] Increase bitrate in Android Automotive,edringen,The playback in Android Automotive (not to be confused with Android Auto) in Polestar 2 is poor due to low bitrate in the Spotify app. Please either increase the hardcoded bitrate in the app or make the bitrate a user configurable setting in the app.Note that YouTube Music uses higher bitrate and sounds better on Android Automotive. You should rectify your low bitrate on Android Automotive before too many people migrate to YouTube Music.,03:59 PM,‎2020-09-06,,617,50,5,https://community.spotify.com/t5/Implemented-Ideas/Android-Other-Increase-bitrate-in-Android-Automotive/idi-p/5031278?search-action-id=342735444271&search-result-uid=5031278,en
34,implemented,[Mobile][Podcasts] Toggle Video for podcasts on mobile,vince6-uk,"Listening to JRE Joe Rogan Experience on Spotify using my phone. The app uses too much data as it streams video. I would love the option to turn off video feed to save on data, otherwise I cant freely listen to JRE wherever I am. I do love the video feed, much better functionality than Apple podcasts, so I do love having this available, but I want to be able to switch it off especially when not on wifi. Another feature could be the option to download Audio and / or video in advance (so we can choose if want to download audio only or video as well). That would solve a lot of my data problems.",06:54 AM,‎2020-09-03,,572,90,9,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Podcasts-Toggle-Video-for-podcasts-on-mobile/idi-p/5029142?search-action-id=342735444271&search-result-uid=5029142,en
35,implemented,Add video on casted TV device for podcasts casted via Chromecast/Roku etc.,adiram2806,"Podcasts that currently have video available on your mobile or desktop device, lose the video feature once you cast it to a TV via Chromecast. This is a major surprise as this is a frequent way of watching video podcasts on TV. Please consider casting the video part of the podcast along with the audio on casted devices.",06:58 PM,‎2020-09-01,,1519,350,35,https://community.spotify.com/t5/Implemented-Ideas/Add-video-on-casted-TV-device-for-podcasts-casted-via-Chromecast/idi-p/5027935?search-action-id=342735444271&search-result-uid=5027935,en
36,implemented,[Desktop] Video size in podcasts,sirSlani,"You can currently only choose between a small video size and full screen.I wish you could stretch the video to the rest of the window, as the rest of it is really a waste of space. Full screen would be alright but then I can't do anything else with that screen.",07:15 AM,‎2020-09-01,,469,90,9,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Video-size-in-podcasts/idi-p/5027517?search-action-id=342735444271&search-result-uid=5027517,en
37,implemented,Spotify Video on Apple TV,notbradryan,"With Video coming to Spotify, it feels like a real missed opportunity that there is no video on the Spotify Apple TV app. I would love to be able to watch podcasts or shows on Spotify on my Apple TV. I assume this is already in the works, but if it's not it should be. If it is, when will we see it?",01:45 AM,‎2020-09-01,,578,80,8,https://community.spotify.com/t5/Implemented-Ideas/Spotify-Video-on-Apple-TV/idi-p/5027409?search-action-id=342735444271&search-result-uid=5027409,en
38,implemented,[Search] Search for Episodes Within a Podcast Show,Perezmajula,"Allow users to search for an epidose within a specific podcast show only, similar to searching for a song within a playlist.",09:48 PM,‎2020-08-26,,323,70,7,https://community.spotify.com/t5/Implemented-Ideas/Search-Search-for-Episodes-Within-a-Podcast-Show/idi-p/5024515?search-action-id=342735444271&search-result-uid=5024515,en
39,implemented,[Desktop][Your Library] Sort the list of playlists,idontcareihatey,"I can’t be the only one with over 40 playlists. I would like an option to organise my playlists on desktop. You could add a button so that you can edit (like on phone) to organise playlists by alphabetical order, date added or whatever. yes I could take the time to drag every single one of my playlists into the right place, but I currently have like 40something. In a couple years when I probably have over 100 playlists, it will be unacceptable to have to drag and drop every single one to the right place.",06:27 AM,‎2020-08-04,,13,20,2,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Your-Library-Sort-the-list-of-playlists/idi-p/5010502?search-action-id=342735444271&search-result-uid=5010502,en
40,implemented,[All Platforms][Podcasts] Podcast in Russia,BlessedBaka,Hi! Make possible to listen podcasts for Russian users of Spotify.,12:51 PM,‎2020-08-01,,481,50,5,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Podcasts-Podcast-in-Russia/idi-p/5008966?search-action-id=342735444271&search-result-uid=5008966,en
41,implemented,[Mobile][Other] Clear button for queue,Tushi,"Hi, I want to buy spotify premium but spotify doesnot allow users to clear all songs in the queue. If we have hundreds of songs in queue and want to remove them, we have to select one by one on our mobile device and i personally feel this is not a good option for me. It will be good if we can have an additional feature to clear the queue with the click of a single button too. I hope you can take this into consideration.",07:27 PM,‎2020-07-21,,161,30,3,https://community.spotify.com/t5/Implemented-Ideas/Mobile-Other-Clear-button-for-queue/idi-p/5002438?search-action-id=342735444271&search-result-uid=5002438,en
42,implemented,[All Platforms][Other] Spotify In Armenia,haykogiperout,Spotify now available in russian and cis I live in armeniaarmenia = cisbut spotify doesn't work in armeniagive armenia spotify please,05:14 AM,‎2020-07-20,,1073,30,3,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-Other-Spotify-In-Armenia/idi-p/5001333?search-action-id=342735444271&search-result-uid=5001333,en
43,implemented,[SmartTV][Other] Add Lyrics to TV,vic_bam85,"Add the option to see lyrics in the Smart TV. This option in available on Smartphones, but not on TV, where you can make a better use of them.",07:27 PM,‎2020-07-19,,494,40,4,https://community.spotify.com/t5/Implemented-Ideas/SmartTV-Other-Add-Lyrics-to-TV/idi-p/5001133?search-action-id=342735444271&search-result-uid=5001133,en
44,implemented,[PS4][Other] Spotify on PS4 in Russia,iamskyfall,"Hello Spotify! Very glad that the service is finally available in Russia BUT there is still no Spotify in Playstation Store!!! Is there any chance we can get spotify on the playstation 4 and PS 5? Is there any official time plan to implement this? This is very important feature for the PS4 gamers in Russia and can be the main point for thoose who haven't decided yet should they buy Spotify subscription or not. While there are many other services only spotify can work on PS4 systems while playing. Please, add Spotify app for ps4 for Russia asap. Best wishes!",12:51 PM,‎2020-07-16,,903,40,4,https://community.spotify.com/t5/Implemented-Ideas/PS4-Other-Spotify-on-PS4-in-Russia/idi-p/4998872?search-action-id=342735444271&search-result-uid=4998872,en
45,implemented,[All Platforms] See and play tracks I have liked from an artist's page,AdnanAlbeda,"I recommend a feature in the artist page that will enable me to play my liked songs only, so I don't have to make a playlist for every artist when I want to listen to him/her alone. Same play button which plays top 10, but with a drop down choice to play my liked ones only.",09:00 AM,‎2020-07-03,,17,10,1,https://community.spotify.com/t5/Implemented-Ideas/All-Platforms-See-and-play-tracks-I-have-liked-from-an-artist-s/idi-p/4989404?search-action-id=342735444271&search-result-uid=4989404,en
46,implemented,[Android][Playlists] Re-enable queue on now-playing screen,Z0sh,In the newest update you put the share button in place of the usual queue button. Now whenever I want to rearrange songs in my queue or want to check what comes up next I have to press the three dots up right and then click on queue... Who would prefer a share button over a queue button? Please undo this. Queue NEEDS to be right on the now-playing screen Thank you! Edit: Problem solved ~28.07.2020,11:02 PM,‎2020-06-29,,338,40,4,https://community.spotify.com/t5/Implemented-Ideas/Android-Playlists-Re-enable-queue-on-now-playing-screen/idi-p/4986821?search-action-id=342735444271&search-result-uid=4986821,en
47,implemented,[Desktop][Podcasts] Disable podcast videos,sloshy_,"When you try to play a podcast that also has video on desktop, there is no option to disable it and only play audio. This is unnecessary for me, because I do other things while listening to podcasts. It also introduces unnecessary strain on my internet connection to stream video that I won't watch, as well as strain on my hardware trying to decode the video. Much like the ""disable canvas"" option on mobile, I feel like it would be beneficial to have a ""disable videos"" on desktop.",06:28 PM,‎2020-06-23,,761,70,7,https://community.spotify.com/t5/Implemented-Ideas/Desktop-Podcasts-Disable-podcast-videos/idi-p/4982978?search-action-id=342735444271&search-result-uid=4982978,en
